Country Name,Country Code,Poor_2000,Poor_2001,Poor_2002,Poor_2003,Poor_2004,Poor_2005,Poor_2006,Poor_2007,Poor_2008,Poor_2009,Poor_2010,Poor_2011,Poor_2012,Poor_2013,Poor_2014,Poor_2015,Poor_2016,Poor_2017,Poor_2018,Average_2011-2015
Hungary,HUN,,,,,0.1,0.7,0.1,0.1,0,0.1,0.1,0.1,0.3,0.1,0.6,0.6,1.3,0.6,,0.34
Iceland,ISL,,,,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,,,,0.02
India,IND,,,,,39.9,,,,,32.8,,22.5,,,,,,,,22.5
Indonesia,IDN,34.9,31.2,19,19.3,21,18,23.9,19.3,19,15.5,13.3,10.9,9.5,7.3,6.2,5.8,5.2,4.5,3.6,7.94
"Iran, Islamic Rep.",IRN,,,,,,0.6,0.5,,,1.1,,,,0.1,0.4,0.4,0.4,0.3,,0.3
Iraq,IRQ,,,,,,,1.5,,,,,,1.7,,,,,,,1.7
Ireland,IRL,0.2,,,0.1,0,0,0.4,0.1,0.2,0.4,0.5,0.5,0.2,0.7,0.4,0.3,0.1,,,0.42
Israel,ISR,,0.2,,,,0.5,,0.5,,,0.2,,0.5,,0.5,,0.2,,,0.5
Italy,ITA,1.2,,,0.8,0.6,0.6,0.7,0.7,0.7,0.9,1.3,1.2,1.2,1.4,1.2,1.9,1.6,1.4,,1.38
Jamaica,JAM,,,2.7,,1.7,,,,,,,,,,,,,,,
Japan,JPN,,,,,,,,,0.5,,0,,,0.7,,,,,,0.7
Jordan,JOR,,,1,,,,0.3,,0.1,,0.1,,,,,,,,,
Kazakhstan,KAZ,,8.9,5.6,3.7,1.7,5.8,0.5,0.2,0,0.1,0.1,0,0,0,0,0,0,0,,0
Kenya,KEN,,,,,,43.9,,,,,,,,,,37.1,,,,37.1
Kiribati,KIR,,,,,,,12.9,,,,,,,,,,,,,
"Korea, Rep.",KOR,,,,,,,0.2,,0.2,,0.5,,0.2,,,,,,,0.2
Kosovo,XKX,,,,1.9,,3.5,3.6,,,3.2,2.5,1.7,0.6,0.3,1,0.7,0.8,0.4,,0.86
Kyrgyz Republic,KGZ,35.1,31.4,28.3,22.3,9.9,12.1,7.3,7.9,2.9,1.4,2.8,0.9,2.5,2.2,0.9,1.8,1,1.1,0.6,1.66
Lao PDR,LAO,,,31.8,,,,,25.5,,,,,21.2,,,,,,,21.2
Latvia,LVA,,,,,2.4,2.3,1.5,0.6,1.2,1.7,1.6,1,1,1.1,0.8,0.6,0.6,0.8,,0.9
Lebanon,LBN,,,,,,,,,,,,0,,,,,,,,0
Lesotho,LSO,,,61.9,,,,,,,,,,,,,,,27.8,,
Liberia,LBR,,,,,,,,71.4,,,,,,,41.7,,44.4,,,41.7
Lithuania,LTU,,,,,2.7,1.8,1.5,1.3,1.4,2.2,1.5,0.7,0.9,0.7,1.3,0.7,1.3,1,,0.86
Luxembourg,LUX,0,,,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.3,0.1,0.3,,0.12
Madagascar,MDG,,68.4,,,,71.7,,,,,78.2,,77.4,,,,,,,77.4
Malawi,MWI,,,,,73.9,,,,,,72.3,,,,,,70.8,,,
